,label,sentence,NN,JJ,RB
0,news,"['The', 'Fulton', 'County', 'Grand', 'Jury', 'said', 'Friday', 'an', 'investigation', 'of', ""Atlanta's"", 'recent', 'primary', 'election', 'produced', '``', 'no', 'evidence', ""''"", 'that', 'any', 'irregularities', 'took', 'place', '.']",11,2,0
1,news,"['The', 'jury', 'further', 'said', 'in', 'term-end', 'presentments', 'that', 'the', 'City', 'Executive', 'Committee', ',', 'which', 'had', 'over-all', 'charge', 'of', 'the', 'election', ',', '``', 'deserves', 'the', 'praise', 'and', 'thanks', 'of', 'the', 'City', 'of', 'Atlanta', ""''"", 'for', 'the', 'manner', 'in', 'which', 'the', 'election', 'was', 'conducted', '.']",13,2,1
2,news,"['The', 'September-October', 'term', 'jury', 'had', 'been', 'charged', 'by', 'Fulton', 'Superior', 'Court', 'Judge', 'Durwood', 'Pye', 'to', 'investigate', 'reports', 'of', 'possible', '``', 'irregularities', ""''"", 'in', 'the', 'hard-fought', 'primary', 'which', 'was', 'won', 'by', 'Mayor-nominate', 'Ivan', 'Allen', 'Jr.', '.']",16,2,0
3,news,"['``', 'Only', 'a', 'relative', 'handful', 'of', 'such', 'reports', 'was', 'received', ""''"", ',', 'the', 'jury', 'said', ',', '``', 'considering', 'the', 'widespread', 'interest', 'in', 'the', 'election', ',', 'the', 'number', 'of', 'voters', 'and', 'the', 'size', 'of', 'this', 'city', ""''"", '.']",9,3,1
4,news,"['The', 'jury', 'said', 'it', 'did', 'find', 'that', 'many', 'of', ""Georgia's"", 'registration', 'and', 'election', 'laws', '``', 'are', 'outmoded', 'or', 'inadequate', 'and', 'often', 'ambiguous', ""''"", '.']",5,3,1
5,news,"['It', 'recommended', 'that', 'Fulton', 'legislators', 'act', '``', 'to', 'have', 'these', 'laws', 'studied', 'and', 'revised', 'to', 'the', 'end', 'of', 'modernizing', 'and', 'improving', 'them', ""''"", '.']",5,0,0
6,news,"['The', 'grand', 'jury', 'commented', 'on', 'a', 'number', 'of', 'other', 'topics', ',', 'among', 'them', 'the', 'Atlanta', 'and', 'Fulton', 'County', 'purchasing', 'departments', 'which', 'it', 'said', '``', 'are', 'well', 'operated', 'and', 'follow', 'generally', 'accepted', 'practices', 'which', 'inure', 'to', 'the', 'best', 'interest', 'of', 'both', 'governments', ""''"", '.']",11,3,2
7,news,"['Merger', 'proposed']",1,0,0
8,news,"['However', ',', 'the', 'jury', 'said', 'it', 'believes', '``', 'these', 'two', 'offices', 'should', 'be', 'combined', 'to', 'achieve', 'greater', 'efficiency', 'and', 'reduce', 'the', 'cost', 'of', 'administration', ""''"", '.']",5,1,1
9,news,"['The', 'City', 'Purchasing', 'Department', ',', 'the', 'jury', 'said', ',', '``', 'is', 'lacking', 'in', 'experienced', 'clerical', 'personnel', 'as', 'a', 'result', 'of', 'city', 'personnel', 'policies', ""''"", '.']",9,2,0
10,news,"['It', 'urged', 'that', 'the', 'city', '``', 'take', 'steps', 'to', 'remedy', ""''"", 'this', 'problem', '.']",3,0,0
11,news,"['Implementation', 'of', ""Georgia's"", 'automobile', 'title', 'law', 'was', 'also', 'recommended', 'by', 'the', 'outgoing', 'jury', '.']",6,1,1
12,news,"['It', 'urged', 'that', 'the', 'next', 'Legislature', '``', 'provide', 'enabling', 'funds', 'and', 're-set', 'the', 'effective', 'date', 'so', 'that', 'an', 'orderly', 'implementation', 'of', 'the', 'law', 'may', 'be', 'effected', ""''"", '.']",5,3,1
13,news,"['The', 'grand', 'jury', 'took', 'a', 'swipe', 'at', 'the', 'State', 'Welfare', ""Department's"", 'handling', 'of', 'federal', 'funds', 'granted', 'for', 'child', 'welfare', 'services', 'in', 'foster', 'homes', '.']",11,3,0
14,news,"['``', 'This', 'is', 'one', 'of', 'the', 'major', 'items', 'in', 'the', 'Fulton', 'County', 'general', 'assistance', 'program', ""''"", ',', 'the', 'jury', 'said', ',', 'but', 'the', 'State', 'Welfare', 'Department', '``', 'has', 'seen', 'fit', 'to', 'distribute', 'these', 'funds', 'through', 'the', 'welfare', 'departments', 'of', 'all', 'the', 'counties', 'in', 'the', 'state', 'with', 'the', 'exception', 'of', 'Fulton', 'County', ',', 'which', 'receives', 'none', 'of', 'this', 'money', '.']",20,2,0
15,news,"['The', 'jurors', 'said', 'they', 'realize', '``', 'a', 'proportionate', 'distribution', 'of', 'these', 'funds', 'might', 'disable', 'this', 'program', 'in', 'our', 'less', 'populous', 'counties', ""''"", '.']",5,2,0
16,news,"['Nevertheless', ',', '``', 'we', 'feel', 'that', 'in', 'the', 'future', 'Fulton', 'County', 'should', 'receive', 'some', 'portion', 'of', 'these', 'available', 'funds', ""''"", ',', 'the', 'jurors', 'said', '.']",5,2,1
17,news,"['``', 'Failure', 'to', 'do', 'this', 'will', 'continue', 'to', 'place', 'a', 'disproportionate', 'burden', ""''"", 'on', 'Fulton', 'taxpayers', '.']",5,0,0
18,news,"['The', 'jury', 'also', 'commented', 'on', 'the', 'Fulton', ""ordinary's"", 'court', 'which', 'has', 'been', 'under', 'fire', 'for', 'its', 'practices', 'in', 'the', 'appointment', 'of', 'appraisers', ',', 'guardians', 'and', 'administrators', 'and', 'the', 'awarding', 'of', 'fees', 'and', 'compensation', '.']",12,0,1
19,news,"['Wards', 'protected']",1,0,0
20,news,"['The', 'jury', 'said', 'it', 'found', 'the', 'court', '``', 'has', 'incorporated', 'into', 'its', 'operating', 'procedures', 'the', 'recommendations', ""''"", 'of', 'two', 'previous', 'grand', 'juries', ',', 'the', 'Atlanta', 'Bar', 'Association', 'and', 'an', 'interim', 'citizens', 'committee', '.']",10,3,0
21,news,"['``', 'These', 'actions', 'should', 'serve', 'to', 'protect', 'in', 'fact', 'and', 'in', 'effect', 'the', ""court's"", 'wards', 'from', 'undue', 'costs', 'and', 'its', 'appointed', 'and', 'elected', 'servants', 'from', 'unmeritorious', 'criticisms', ""''"", ',', 'the', 'jury', 'said', '.']",9,2,0
22,news,"['Regarding', ""Atlanta's"", 'new', 'multi-million-dollar', 'airport', ',', 'the', 'jury', 'recommended', '``', 'that', 'when', 'the', 'new', 'management', 'takes', 'charge', 'Jan.', '1', 'the', 'airport', 'be', 'operated', 'in', 'a', 'manner', 'that', 'will', 'eliminate', 'political', 'influences', ""''"", '.']",9,4,0
23,news,"['The', 'jury', 'did', 'not', 'elaborate', ',', 'but', 'it', 'added', 'that', '``', 'there', 'should', 'be', 'periodic', 'surveillance', 'of', 'the', 'pricing', 'practices', 'of', 'the', 'concessionaires', 'for', 'the', 'purpose', 'of', 'keeping', 'the', 'prices', 'reasonable', ""''"", '.']",7,3,1
24,news,"['Ask', 'jail', 'deputies']",3,0,0
25,news,"['On', 'other', 'matters', ',', 'the', 'jury', 'recommended', 'that', ':', '(', '1', ')']",2,1,0
26,news,"['Four', 'additional', 'deputies', 'be', 'employed', 'at', 'the', 'Fulton', 'County', 'Jail', 'and', '``', 'a', 'doctor', ',', 'medical', 'intern', 'or', 'extern', 'be', 'employed', 'for', 'night', 'and', 'weekend', 'duty', 'at', 'the', 'jail', ""''"", '.']",10,3,0
27,news,"['(', '2', ')']",0,0,0
28,news,"['Fulton', 'legislators', '``', 'work', 'with', 'city', 'officials', 'to', 'pass', 'enabling', 'legislation', 'that', 'will', 'permit', 'the', 'establishment', 'of', 'a', 'fair', 'and', 'equitable', ""''"", 'pension', 'plan', 'for', 'city', 'employes', '.']",11,2,0
29,news,"['The', 'jury', 'praised', 'the', 'administration', 'and', 'operation', 'of', 'the', 'Atlanta', 'Police', 'Department', ',', 'the', 'Fulton', 'Tax', ""Commissioner's"", 'Office', ',', 'the', 'Bellwood', 'and', 'Alpharetta', 'prison', 'farms', ',', 'Grady', 'Hospital', 'and', 'the', 'Fulton', 'Health', 'Department', '.']",19,0,0
30,news,"['Mayor', 'William', 'B.', 'Hartsfield', 'filed', 'suit', 'for', 'divorce', 'from', 'his', 'wife', ',', 'Pearl', 'Williams', 'Hartsfield', ',', 'in', 'Fulton', 'Superior', 'Court', 'Friday', '.']",14,0,0
31,news,"['His', 'petition', 'charged', 'mental', 'cruelty', '.']",2,1,0
32,news,"['The', 'couple', 'was', 'married', 'Aug.', '2', ',', '1913', '.']",2,0,0
33,news,"['They', 'have', 'a', 'son', ',', 'William', 'Berry', 'Jr.', ',', 'and', 'a', 'daughter', ',', 'Mrs.', 'J.', 'M.', 'Cheshire', 'of', 'Griffin', '.']",10,0,0
34,news,"['Attorneys', 'for', 'the', 'mayor', 'said', 'that', 'an', 'amicable', 'property', 'settlement', 'has', 'been', 'agreed', 'upon', '.']",4,1,0
35,news,"['The', 'petition', 'listed', 'the', ""mayor's"", 'occupation', 'as', '``', 'attorney', ""''"", 'and', 'his', 'age', 'as', '71', '.']",4,1,0
36,news,"['It', 'listed', 'his', ""wife's"", 'age', 'as', '74', 'and', 'place', 'of', 'birth', 'as', 'Opelika', ',', 'Ala.', '.']",5,1,0
37,news,"['The', 'petition', 'said', 'that', 'the', 'couple', 'has', 'not', 'lived', 'together', 'as', 'man', 'and', 'wife', 'for', 'more', 'than', 'a', 'year', '.']",5,1,2
38,news,"['The', 'Hartsfield', 'home', 'is', 'at', '637', 'E.', 'Pelham', 'Rd.', 'Aj', '.']",6,0,0
39,news,"['Henry', 'L.', 'Bowden', 'was', 'listed', 'on', 'the', 'petition', 'as', 'the', ""mayor's"", 'attorney', '.']",6,0,0
40,news,"['Hartsfield', 'has', 'been', 'mayor', 'of', 'Atlanta', ',', 'with', 'exception', 'of', 'one', 'brief', 'interlude', ',', 'since', '1937', '.']",6,0,0
41,news,"['His', 'political', 'career', 'goes', 'back', 'to', 'his', 'election', 'to', 'city', 'council', 'in', '1923', '.']",4,1,1
42,news,"['The', ""mayor's"", 'present', 'term', 'of', 'office', 'expires', 'Jan.', '1', '.']",3,2,0
